,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,233.0,427.0,429.0,472.0,517.0,557.0,563.0,588.0,589.0,597.0,659.0,677.0,691.0,710.0,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37.0,89.0,239.0,546.0,655.0,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46.0,441.0,575.0,605.0,729.0,745.0,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34.0,36.0,109.0,349.0,415.0,436.0,442.0,467.0,477.0,494.0,544.0,554.0,568.0,638.0,659.0,700.0,701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,239.0,517.0,519.0,610.0,651.0,677.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,404.0,638.0,761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,404.0,638.0,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,404.0,415.0,563.0,638.0,654.0,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109.0,115.0,223.0,230.0,251.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,425.0,434.0,438.0,449.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,79.0,439.0,442.0,490.0,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,145.0,203.0,264.0,468.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,28.0,84.0,180.0,212.0,233.0,255.0,276.0,426.0,427.0,436.0,437.0,438.0,441.0,442.0,478.0,490.0,498.0,504.0,507.0,517.0,519.0,525.0,546.0,588.0,597.0,605.0,611.0,640.0,655.0,659.0,666.0,677.0,699.0,705.0,710.0,711.0,,,,,,,,,,,,,,,,
13,27.0,28.0,209.0,212.0,230.0,253.0,256.0,263.0,275.0,423.0,525.0,546.0,611.0,666.0,703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
